"","symbol","date","open","close"
"6776","BCH","2017-07-23",555.89,413.06
"6777","BCH","2017-07-24",412.58,440.7
"6778","BCH","2017-07-25",441.35,406.9
"6779","BCH","2017-07-26",407.08,365.82
"6780","BCH","2017-07-27",417.1,385.48
"6781","BCH","2017-07-28",386.65,406.05
"6782","BCH","2017-07-29",410.57,384.77
"6783","BCH","2017-07-30",385.14,345.66
"6784","BCH","2017-07-31",346.36,294.46
"6785","BCH","2017-08-01",294.6,380.01
"6786","BCH","2017-08-02",382.38,452.66
"6787","BCH","2017-08-03",448.49,364.05
"6788","BCH","2017-08-04",362.18,233.05
"6789","BCH","2017-08-05",231.11,213.15
"6790","BCH","2017-08-06",212.18,220.66
"6791","BCH","2017-08-07",223.76,319.69
"6792","BCH","2017-08-08",321.35,345.49
"6793","BCH","2017-08-09",345.28,303.89
"6794","BCH","2017-08-10",305.21,275.95
"6795","BCH","2017-08-11",275.88,328.24
"6796","BCH","2017-08-12",327.82,317.09
"6797","BCH","2017-08-13",316.29,298.05
"6798","BCH","2017-08-14",296.1,297.68
"6799","BCH","2017-08-15",298.18,297.86
"6800","BCH","2017-08-16",297.97,300.21
"6801","BCH","2017-08-17",301.02,460.53
"6802","BCH","2017-08-18",458.67,690.24
"6803","BCH","2017-08-19",697.04,754.56
"6804","BCH","2017-08-20",772.42,712.87
"6805","BCH","2017-08-21",723.7,599.64
"6806","BCH","2017-08-22",596.19,690.88
"6807","BCH","2017-08-23",690.96,669.4
"6808","BCH","2017-08-24",670.03,628.11
"6809","BCH","2017-08-25",627.06,641.05
"6810","BCH","2017-08-26",641.88,625.32
"6811","BCH","2017-08-27",625.89,620.9
"6812","BCH","2017-08-28",619.7,596.18
"6813","BCH","2017-08-29",596.13,552.93
"6814","BCH","2017-08-30",549.32,575.21
"6815","BCH","2017-08-31",576.25,588.17
"6816","BCH","2017-09-01",588.4,622.17
"6817","BCH","2017-09-02",621.96,575.9
"6818","BCH","2017-09-03",578.27,607.43
"6819","BCH","2017-09-04",608.26,517.24
"6820","BCH","2017-09-05",514.9,541.71
"6821","BCH","2017-09-06",541.28,638.18
"6822","BCH","2017-09-07",636.85,652.85
"6823","BCH","2017-09-08",654.37,583.1
"6824","BCH","2017-09-09",584.73,547.47
"6825","BCH","2017-09-10",546.47,537.07
"6826","BCH","2017-09-11",537.19,537.81
"6827","BCH","2017-09-12",539.03,510.41
"6828","BCH","2017-09-13",509.47,503.61
"6829","BCH","2017-09-14",504.22,367.04
"6830","BCH","2017-09-15",369.49,424.02
"6831","BCH","2017-09-16",424.49,440.22
"6832","BCH","2017-09-17",438.9,419.86
"6833","BCH","2017-09-18",422.09,479.32
"6834","BCH","2017-09-19",480.64,527.88
"6835","BCH","2017-09-20",526.74,476.05
"6836","BCH","2017-09-21",475.83,416.26
"6837","BCH","2017-09-22",417.92,415.09
"6838","BCH","2017-09-23",415.31,428.5
"6839","BCH","2017-09-24",428.8,421.03
"6840","BCH","2017-09-25",419.65,445.8
"6841","BCH","2017-09-26",445.36,441.83
"6842","BCH","2017-09-27",441.86,457.31
"6843","BCH","2017-09-28",456.71,447.81
"6844","BCH","2017-09-29",447.66,436.77
"6845","BCH","2017-09-30",436.64,432.63
"6846","BCH","2017-10-01",433.38,415.15
"6847","BCH","2017-10-02",415.87,421.19
"6848","BCH","2017-10-03",421.79,404.18
"6849","BCH","2017-10-04",404.2,358.45
"6850","BCH","2017-10-05",358.42,355.75
"6851","BCH","2017-10-06",355.43,363.01
"6852","BCH","2017-10-07",363.6,360.78
"6853","BCH","2017-10-08",360.09,342.21
"6854","BCH","2017-10-09",342.76,314.16
"6855","BCH","2017-10-10",313.22,321.59
"6856","BCH","2017-10-11",320.2,314.9
"6857","BCH","2017-10-12",315.47,313.21
"6858","BCH","2017-10-13",314.15,321.46
"6859","BCH","2017-10-14",321.54,321.96
"6860","BCH","2017-10-15",322.42,314.95
"6861","BCH","2017-10-16",315.26,313.64
"6862","BCH","2017-10-17",313.7,371.73
"6863","BCH","2017-10-18",373.65,339.17
"6864","BCH","2017-10-19",339.27,330.81
"6865","BCH","2017-10-20",330.9,327.44
"6866","BCH","2017-10-21",326.75,323.36
"6867","BCH","2017-10-22",323.5,331.66
"6868","BCH","2017-10-23",330.67,315.6
"6869","BCH","2017-10-24",315.9,326.89
"6870","BCH","2017-10-25",326.59,332.13
"6871","BCH","2017-10-26",332.11,338.2
"6872","BCH","2017-10-27",338.3,367.57
"6873","BCH","2017-10-28",369.54,423.35
"6874","BCH","2017-10-29",420.47,451.92
"6875","BCH","2017-10-30",458.45,448.23
"6876","BCH","2017-10-31",449.37,439.05
"6877","BCH","2017-11-01",438.3,531.83
"6878","BCH","2017-11-02",527.68,587.22
"6879","BCH","2017-11-03",587.32,625.32
"6880","BCH","2017-11-04",635.35,620.45
"6881","BCH","2017-11-05",619.91,630.7
"6882","BCH","2017-11-06",630.31,602.65
"6883","BCH","2017-11-07",602.68,616.3
"6884","BCH","2017-11-08",615.24,622.46
"6885","BCH","2017-11-09",622.31,654.3
"6886","BCH","2017-11-10",651.78,1007.42
"6887","BCH","2017-11-11",1001.64,1340.45
"6888","BCH","2017-11-12",1346.97,1388.86
"6889","BCH","2017-11-13",1381.82,1353.99
"6890","BCH","2017-11-14",1346.73,1273.53
"6891","BCH","2017-11-15",1269.79,1212.4
"6892","BCH","2017-11-16",1202.17,900.78
"6893","BCH","2017-11-17",909.16,1185.48
"6894","BCH","2017-11-18",1197.43,1254.53
"6895","BCH","2017-11-19",1260.95,1172.05
"6896","BCH","2017-11-20",1172.43,1236.01
"6897","BCH","2017-11-21",1220.78,1176.97
"6898","BCH","2017-11-22",1175.06,1303.31
"6899","BCH","2017-11-23",1302.23,1683.81
"6900","BCH","2017-11-24",1651.86,1648.51
"6901","BCH","2017-11-25",1634,1571.27
"6902","BCH","2017-11-26",1571.39,1735.66
"6903","BCH","2017-11-27",1722.93,1622.57
"6904","BCH","2017-11-28",1621.17,1546.18
"6905","BCH","2017-11-29",1541.63,1359.71
"6906","BCH","2017-11-30",1380.36,1389.78
"6907","BCH","2017-12-01",1381.81,1462.68
"6908","BCH","2017-12-02",1462.06,1434.98
"6909","BCH","2017-12-03",1435.36,1559.93
"6910","BCH","2017-12-04",1560.16,1576.92
"6911","BCH","2017-12-05",1580.16,1501.85
"6912","BCH","2017-12-06",1498.49,1430.1
"6913","BCH","2017-12-07",1430.71,1330.93
"6914","BCH","2017-12-08",1329.16,1464.13
"6915","BCH","2017-12-09",1464.63,1410.06
"6916","BCH","2017-12-10",1411.84,1323.07
"6917","BCH","2017-12-11",1320,1423.38
"6918","BCH","2017-12-12",1427.38,1615.03
"6919","BCH","2017-12-13",1616.99,1607.65
"6920","BCH","2017-12-14",1600.67,1966.14
