"","symbol","date","open","close"
"522","BTC","2014-10-01",387.43,383.61
"523","BTC","2014-10-02",383.99,375.07
"524","BTC","2014-10-03",375.18,359.51
"525","BTC","2014-10-04",359.89,328.87
"526","BTC","2014-10-05",328.92,320.51
"527","BTC","2014-10-06",320.39,330.08
"528","BTC","2014-10-07",330.58,336.19
"529","BTC","2014-10-08",336.12,352.94
"530","BTC","2014-10-09",352.75,365.03
"531","BTC","2014-10-10",364.69,361.56
"532","BTC","2014-10-11",361.36,362.3
"533","BTC","2014-10-12",362.61,378.55
"534","BTC","2014-10-13",377.92,390.41
"535","BTC","2014-10-14",391.69,400.87
"536","BTC","2014-10-15",400.95,394.77
"537","BTC","2014-10-16",394.52,382.56
"538","BTC","2014-10-17",382.76,383.76
"539","BTC","2014-10-18",383.98,391.44
"540","BTC","2014-10-19",391.25,389.55
"541","BTC","2014-10-20",389.23,382.85
"542","BTC","2014-10-21",382.42,386.48
"543","BTC","2014-10-22",386.12,383.16
"544","BTC","2014-10-23",382.96,358.42
"545","BTC","2014-10-24",358.59,358.35
"546","BTC","2014-10-25",358.61,347.27
"547","BTC","2014-10-26",347.49,354.7
"548","BTC","2014-10-27",354.78,352.99
"549","BTC","2014-10-28",353.21,357.62
"550","BTC","2014-10-29",357.09,335.59
"551","BTC","2014-10-30",335.71,345.3
"552","BTC","2014-10-31",345.01,338.32
"553","BTC","2014-11-01",338.65,325.75
"554","BTC","2014-11-02",326.08,325.89
"555","BTC","2014-11-03",325.57,327.55
"556","BTC","2014-11-04",327.16,330.49
"557","BTC","2014-11-05",330.68,339.49
"558","BTC","2014-11-06",339.46,349.29
"559","BTC","2014-11-07",349.82,342.42
"560","BTC","2014-11-08",342.15,345.49
"561","BTC","2014-11-09",345.38,363.26
"562","BTC","2014-11-10",362.27,366.92
"563","BTC","2014-11-11",365.86,367.7
"564","BTC","2014-11-12",367.98,423.56
"565","BTC","2014-11-13",427.27,420.73
"566","BTC","2014-11-14",418.42,397.82
"567","BTC","2014-11-15",399.65,376.13
"568","BTC","2014-11-16",374.73,387.88
"569","BTC","2014-11-17",388.35,387.41
"570","BTC","2014-11-18",387.79,375.2
"571","BTC","2014-11-19",373.9,380.55
"572","BTC","2014-11-20",380.31,357.84
"573","BTC","2014-11-21",357.88,350.85
"574","BTC","2014-11-22",351.6,352.92
"575","BTC","2014-11-23",353.17,367.57
"576","BTC","2014-11-24",366.95,376.9
"577","BTC","2014-11-25",376.89,375.35
"578","BTC","2014-11-26",376.02,368.37
"579","BTC","2014-11-27",370.5,369.67
"580","BTC","2014-11-28",369.37,376.45
"581","BTC","2014-11-29",376.15,375.49
"582","BTC","2014-11-30",375.51,378.05
"583","BTC","2014-12-01",378.25,379.24
"584","BTC","2014-12-02",379.25,381.32
"585","BTC","2014-12-03",381.72,375.01
"586","BTC","2014-12-04",375.72,369.6
"587","BTC","2014-12-05",369.44,376.85
"588","BTC","2014-12-06",376.76,374.79
"589","BTC","2014-12-07",374.84,375.1
"590","BTC","2014-12-08",374.96,361.91
"591","BTC","2014-12-09",361.89,352.22
"592","BTC","2014-12-10",352.2,346.36
"593","BTC","2014-12-11",344.34,350.51
"594","BTC","2014-12-12",350.83,352.54
"595","BTC","2014-12-13",352.38,347.38
"596","BTC","2014-12-14",346.73,351.63
"597","BTC","2014-12-15",351.36,345.35
"598","BTC","2014-12-16",345.67,327.06
"599","BTC","2014-12-17",326.86,319.78
"600","BTC","2014-12-18",319.79,311.4
"601","BTC","2014-12-19",311.18,317.84
"602","BTC","2014-12-20",317.62,329.96
"603","BTC","2014-12-21",329.54,320.84
"604","BTC","2014-12-22",321.07,331.89
"605","BTC","2014-12-23",332.02,334.57
"606","BTC","2014-12-24",334.39,322.53
"607","BTC","2014-12-25",322.29,319.01
"608","BTC","2014-12-26",319.15,327.92
"609","BTC","2014-12-27",327.58,315.86
"610","BTC","2014-12-28",316.16,317.24
"611","BTC","2014-12-29",317.7,312.67
"612","BTC","2014-12-30",312.72,310.74
"613","BTC","2014-12-31",310.91,320.19
"614","BTC","2015-01-01",320.43,314.25
"615","BTC","2015-01-02",314.08,315.03
"616","BTC","2015-01-03",314.85,281.08
"617","BTC","2015-01-04",281.15,264.2
"618","BTC","2015-01-05",265.08,274.47
"619","BTC","2015-01-06",274.61,286.19
"620","BTC","2015-01-07",286.08,294.34
"621","BTC","2015-01-08",294.14,283.35
"622","BTC","2015-01-09",282.38,290.41
"623","BTC","2015-01-10",287.3,274.8
"624","BTC","2015-01-11",274.61,265.66
"625","BTC","2015-01-12",266.15,267.8
"626","BTC","2015-01-13",267.39,225.86
"627","BTC","2015-01-14",223.89,178.1
"628","BTC","2015-01-15",176.9,209.84
"629","BTC","2015-01-16",209.07,208.1
"630","BTC","2015-01-17",207.83,199.26
"631","BTC","2015-01-18",200.05,210.34
"632","BTC","2015-01-19",211.47,214.86
"633","BTC","2015-01-20",212.91,211.32
"634","BTC","2015-01-21",211.38,226.9
"635","BTC","2015-01-22",227.32,233.41
"636","BTC","2015-01-23",233.52,232.88
"637","BTC","2015-01-24",232.7,247.85
"638","BTC","2015-01-25",247.35,253.72
"639","BTC","2015-01-26",254.08,273.47
"640","BTC","2015-01-27",273.17,263.48
"641","BTC","2015-01-28",263.35,233.91
"642","BTC","2015-01-29",233.35,233.51
"643","BTC","2015-01-30",232.77,226.43
"644","BTC","2015-01-31",226.44,217.46
"645","BTC","2015-02-01",216.87,226.97
"646","BTC","2015-02-02",226.49,238.23
"647","BTC","2015-02-03",237.45,227.27
"648","BTC","2015-02-04",227.51,226.85
"649","BTC","2015-02-05",227.66,217.11
"650","BTC","2015-02-06",216.92,222.27
"651","BTC","2015-02-07",222.63,227.75
"652","BTC","2015-02-08",227.69,223.41
"653","BTC","2015-02-09",223.39,220.11
"654","BTC","2015-02-10",220.28,219.84
"655","BTC","2015-02-11",219.73,219.18
"656","BTC","2015-02-12",219.21,221.76
"657","BTC","2015-02-13",221.97,235.43
"658","BTC","2015-02-14",235.53,257.32
"659","BTC","2015-02-15",257.51,234.82
"660","BTC","2015-02-16",234.82,233.84
"661","BTC","2015-02-17",233.42,243.61
"662","BTC","2015-02-18",243.78,236.33
"663","BTC","2015-02-19",236.41,240.28
"664","BTC","2015-02-20",240.25,243.78
"665","BTC","2015-02-21",243.75,244.53
"666","BTC","2015-02-22",244.54,235.98
"667","BTC","2015-02-23",235.99,238.89
"668","BTC","2015-02-24",239,238.74
"669","BTC","2015-02-25",238.89,237.47
"670","BTC","2015-02-26",237.34,236.43
"671","BTC","2015-02-27",236.44,253.83
"672","BTC","2015-02-28",253.52,254.26
"673","BTC","2015-03-01",254.28,260.2
